symbol,instrument_token,sector,sector_index
AADHARHFC,6074625,Other,NSE:NIFTY 50
AARTIIND,1793,Other,NSE:NIFTY 50
AAVAS,1378561,Financial Services,NSE:NIFTY FIN SERVICE
ABFRL,7707649,Other,NSE:NIFTY 50
ABLBL,193751809,Other,NSE:NIFTY 50
ABREL,160001,Other,NSE:NIFTY 50
ABSLAMC,1540609,Other,NSE:NIFTY 50
ACE,3478273,Other,NSE:NIFTY 50
ACMESOLAR,6927617,Other,NSE:NIFTY 50
AEGISLOG,10241,Other,NSE:NIFTY 50
AEGISVOPAK,193878017,Other,NSE:NIFTY 50
AFCONS,6650113,Other,NSE:NIFTY 50
AFFLE,2903809,IT,NSE:NIFTY IT
AGARWALEYE,7539713,Other,NSE:NIFTY 50
AIIL,6029569,Other,NSE:NIFTY 50
AKUMS,6327041,Other,NSE:NIFTY 50
AKZOINDIA,375553,Other,NSE:NIFTY 50
ALKYLAMINE,1148673,Chemicals,NSE:NIFTY COMMODITIES
ALOKINDS,4524801,Other,NSE:NIFTY 50
AMBER,303361,Consumer Durables,NSE:NIFTY CONSUMPTION
ANANDRATHI,1829121,Other,NSE:NIFTY 50
ANANTRAJ,3486721,Other,NSE:NIFTY 50
ANGELONE,82945,Financial Services,NSE:NIFTY FIN SERVICE
APLLTD,6483969,Pharma,NSE:NIFTY PHARMA
APTUS,1391361,Financial Services,NSE:NIFTY FIN SERVICE
ARE&M,25601,Other,NSE:NIFTY 50
ASAHIINDIA,1376769,Auto,NSE:NIFTY AUTO
ASTERDM,386049,Other,NSE:NIFTY 50
ASTRAZEN,1436161,Other,NSE:NIFTY 50
ATHERENERG,193957121,Other,NSE:NIFTY 50
ATUL,67329,Chemicals,NSE:NIFTY COMMODITIES
BALRAMCHIN,87297,Other,NSE:NIFTY 50
BANDHANBNK,579329,Bank,NSE:NIFTY BANK
BASF,94209,Chemicals,NSE:NIFTY COMMODITIES
BATAINDIA,94977,Consumer Durables,NSE:NIFTY CONSUMPTION
BAYERCROP,4589313,Other,NSE:NIFTY 50
BBTC,97281,Other,NSE:NIFTY 50
BEML,101121,Other,NSE:NIFTY 50
BIKAJI,3063297,FMCG,NSE:NIFTY FMCG
BLS,4423425,Other,NSE:NIFTY 50
BLUEDART,126721,Other,NSE:NIFTY 50
BLUEJET,5039617,Other,NSE:NIFTY 50
BRIGADE,3887105,Realty,NSE:NIFTY REALTY
BSOFT,1790465,Other,NSE:NIFTY 50
CAMPUS,2396673,Consumer Durables,NSE:NIFTY CONSUMPTION
CAMS,87553,Financial Services,NSE:NIFTY FIN SERVICE
CANFINHOME,149249,Financial Services,NSE:NIFTY FIN SERVICE
CAPLIPOINT,999937,Other,NSE:NIFTY 50
CARBORUNIV,152321,Diversified,NSE:NIFTY 500
CASTROLIND,320001,Oil & Gas,NSE:NIFTY ENERGY
CCL,2931713,FMCG,NSE:NIFTY FMCG
CDSL,5420545,Financial Services,NSE:NIFTY FIN SERVICE
CEATLTD,3905025,Auto,NSE:NIFTY AUTO
CENTRALBK,3812865,Bank,NSE:NIFTY BANK
CENTURYPLY,3406081,Diversified,NSE:NIFTY 500
CERA,3849985,Consumer Durables,NSE:NIFTY CONSUMPTION
CESC,160769,Power,NSE:NIFTY ENERGY
CGCL,5204225,Other,NSE:NIFTY 50
CHALET,2187777,Consumer Durables,NSE:NIFTY CONSUMPTION
CHAMBLFERT,163073,Chemicals,NSE:NIFTY COMMODITIES
CHENNPETRO,524545,Other,NSE:NIFTY 50
CHOICEIN,2269697,Other,NSE:NIFTY 50
CHOLAHLDNG,5565441,Other,NSE:NIFTY 50
CLEAN,1292545,Chemicals,NSE:NIFTY COMMODITIES
COHANCE,4593921,Other,NSE:NIFTY 50
CONCORDBIO,4623361,Other,NSE:NIFTY 50
CRAFTSMAN,730625,Auto,NSE:NIFTY AUTO
CREDITACC,1131777,Other,NSE:NIFTY 50
CROMPTON,4376065,Consumer Durables,NSE:NIFTY CONSUMPTION
CUB,1459457,Other,NSE:NIFTY 50
CYIENT,1471489,IT,NSE:NIFTY IT
DATAPATTNS,1883649,Capital Goods,NSE:NIFTY INFRA
DBREALTY,4639745,Other,NSE:NIFTY 50
